Ticker,Degree_Centrality,ER_Degree_Mean,ER_Degree_Std,DP_Degree_Mean,DP_Degree_Std
BRK-B,0.014598540145985401,0.03618978102189781,0.006114211803632195,0.014598540145985401,0.0
PGR,0.010218978102189781,0.03605839416058394,0.007358017660964702,0.010218978102189778,3.486925384749193e-18
WELL,0.05693430656934306,0.03557664233576642,0.00687134636382973,0.05693430656934307,6.973850769498386e-18
WEC,0.03503649635036496,0.036218978102189776,0.006893366457509769,0.03503649635036497,1.3947701538996772e-17
BRO,0.03941605839416058,0.03616058394160584,0.007329745420143388,0.03941605839416058,0.0
PPL,0.059854014598540145,0.03624817518248175,0.007058035375334449,0.05985401459854011,3.486925384749193e-17
ATO,0.09635036496350365,0.037007299270073,0.006575893577669313,0.09635036496350366,1.3947701538996772e-17
LNT,0.06861313868613138,0.036379562043795624,0.007820868114954617,0.06861313868613136,1.3947701538996772e-17
EVRG,0.06131386861313868,0.03614598540145984,0.007235941456173144,0.0613138686131387,2.092155230849516e-17
ORI,0.09927007299270073,0.03672992700729926,0.0072228395448768745,0.09927007299270071,1.3947701538996772e-17
TOWN,0.09927007299270073,0.0362919708029197,0.0069534538150445606,0.09927007299270071,1.3947701538996772e-17
WMT,0.10510948905109488,0.03687591240875912,0.006839835802919484,0.10510948905109489,1.3947701538996772e-17
JPM,0.06861313868613138,0.03735766423357664,0.006850763936461778,0.06861313868613136,1.3947701538996772e-17
COST,0.00291970802919708,0.03630656934306569,0.00724347918373925,0.002919708029197079,1.3075970192809475e-18
NFLX,0.05401459854014598,0.03782481751824817,0.007143045424809219,0.054014598540145994,1.3947701538996772e-17
TMUS,0.0437956204379562,0.037124087591240876,0.007003534956859633,0.043795620437956206,6.973850769498386e-18
AXP,0.11824817518248175,0.03611678832116788,0.00639413432388742,0.11824817518248172,2.7895403077993544e-17
ISRG,0.06715328467153284,0.03553284671532847,0.007615985171169752,0.06715328467153282,1.3947701538996772e-17
T,0.059854014598540145,0.035649635036496354,0.007764236650400195,0.05985401459854011,3.486925384749193e-17
GS,0.11386861313868613,0.036934306569343066,0.006855177415956581,0.11386861313868614,1.3947701538996772e-17
BSX,0.04817518248175182,0.036554744525547446,0.007112314907114772,0.04817518248175183,6.973850769498386e-18
WMB,0.1094890510948905,0.03700729927007299,0.007750902929414283,0.10948905109489049,1.3947701538996772e-17
SPG,0.058394160583941604,0.03643795620437956,0.006831332810683485,0.058394160583941604,0.0
RCL,0.12262773722627736,0.0367007299270073,0.007274217865244363,0.1226277372262774,4.184310461699032e-17
HLT,0.03357664233576642,0.036598540145985396,0.007533669131449843,0.03357664233576641,6.973850769498386e-18
BK,0.14890510948905109,0.0370948905109489,0.006919548745674463,0.14890510948905109,0.0
KMI,0.11678832116788321,0.03728467153284672,0.006526752910143959,0.11678832116788321,0.0
HWM,0.072992700729927,0.036452554744525544,0.007116959410523335,0.072992700729927,0.0
MPLX,0.07153284671532846,0.03712408759124087,0.007567880731255561,0.07153284671532846,0.0
NDAQ,0.13576642335766423,0.03592700729927007,0.007235272047669222,0.13576642335766423,0.0
TRGP,0.1386861313868613,0.03646715328467153,0.006442298456896639,0.1386861313868613,0.0
