Ticker,Eigenvector_Centrality,ER_eigen_Mean,ER_eigen_Std,DP_Eigen_Mean,DP_Eigen_Std
BRK-B,0.004662544647891972,0.03739810341780138,0.007636244835941808,0.010441812996530313,0.0016094367731466898
PGR,0.002504340794673916,0.03706204239821401,0.007648656484424804,0.0073951738456536015,0.0013155362068163771
WELL,0.019746584732569312,0.03773798044032266,0.007648077738480355,0.039740564170926446,0.0029612004281250547
WEC,0.01578250193229877,0.03790286679073289,0.0077182259275851576,0.024674647186511977,0.002311533335703387
BRO,0.00989184048774942,0.03746274039629671,0.007639817345685742,0.027721545060778688,0.0025917211801380485
PPL,0.023076058142390395,0.03748890177885175,0.00783845779101632,0.04157367258208545,0.0030219246894446386
ATO,0.06321049383448873,0.03739348097484861,0.007501666336387378,0.06499473123817336,0.0038211618689502846
LNT,0.02048362536277371,0.0371192421088322,0.007773381390360434,0.047279454117572374,0.0032649701223462844
EVRG,0.02778990899221988,0.037393012640362815,0.007826791217942232,0.04265024569842853,0.0030799911635131954
ORI,0.06349559909430309,0.03719550361038274,0.007328005625026829,0.06680892918342834,0.003634652101427184
TOWN,0.07937251355400413,0.0371313383280215,0.0078395161434757,0.06697201921966274,0.003627294525977793
WMT,0.04568609755403897,0.03773290214060364,0.007710630253635122,0.07055608640856269,0.0037835759978262174
JPM,0.02286544281381673,0.03772859863974733,0.007695283019419938,0.04719651058344438,0.003225798202437149
COST,0.000655738496721444,0.03714785930853039,0.007511756490503038,0.0021237119644071305,0.000704041418555376
NFLX,0.010483445099023967,0.03759343012812663,0.007924625543745139,0.03761548192764474,0.002975820692116545
TMUS,0.020518370561036583,0.037382228510776654,0.007589962784231205,0.030816527807377866,0.002639119890615883
AXP,0.061381596272632614,0.03788462266989053,0.007867678292443003,0.07871417660750486,0.0038532808317085806
ISRG,0.03556115159726109,0.03716959560869075,0.007886820936319794,0.04628781796001213,0.003190514689070032
T,0.025723686824308794,0.03741702505638499,0.007693602694498042,0.04153654670489763,0.003189557465211758
GS,0.05378912923502564,0.03754882240122073,0.00767534588307728,0.07579157529859856,0.003805195338087342
BSX,0.015907476746260554,0.03708751228826179,0.007534099454290908,0.03369046633725331,0.0027891325538376495
WMB,0.062478129172025054,0.037070578389038406,0.00791400415291701,0.07306848783197833,0.0037763894591861915
SPG,0.03562587177063618,0.03757538486127633,0.007636135013818517,0.04069984097000804,0.003029137047005775
RCL,0.04624869066360035,0.037305028018752934,0.007750752505312754,0.08090196821984205,0.0038110720700518922
HLT,0.015826802297760425,0.037043721919797,0.007736990033395072,0.023711945036037893,0.0024383841256008145
BK,0.08155259131015664,0.03738410042900829,0.007738456211341526,0.09614612979667536,0.004022523137429447
KMI,0.06665367153062111,0.03730727524899617,0.007621925943858724,0.07756459081333233,0.0037702575112369074
HWM,0.03533312941754475,0.03748261971162736,0.00773269154751249,0.05010614116504288,0.003211603184852569
MPLX,0.020371732385262627,0.037383389704700294,0.00782544146336548,0.04930488703878886,0.0033346108056038918
NDAQ,0.09879310779364908,0.03762524374640081,0.007879063612534654,0.08870691824396432,0.004044501696447921
TRGP,0.07842742525236888,0.03764868836527941,0.007988032993010749,0.09025346863976623,0.0041561445621801215
