Ticker,Cluster_coefficient,ER_Cluster_Mean,ER_Cluster_Std,DP_Cluster_Mean,DP_Cluster_Std
BRK-B,0.8,0.0372419695374917,0.01145608992201491,0.23431111111111114,0.09014259901563242
PGR,1.0,0.037203638910867504,0.011602289609834846,0.24371428571428572,0.12187710462513625
WELL,0.40215924426450744,0.036742713112632615,0.011320296594542065,0.22226180836707152,0.034982962939803644
WEC,0.6159420289855072,0.036832748208859255,0.011480867724683475,0.22742753623188408,0.047645137491137114
BRO,0.4074074074074074,0.037072472337104874,0.011164276785260498,0.22636467236467236,0.045650648692680734
PPL,0.39878048780487807,0.037117641063879714,0.011474060369779398,0.21990000000000004,0.03328808062444675
ATO,0.4442890442890443,0.03720014721655478,0.011718874616541176,0.20597668997668994,0.024928331269837904
LNT,0.32469935245143383,0.036196341800395104,0.01133683865334939,0.21633487511563368,0.0314959843970887
EVRG,0.44715447154471544,0.036027675327826914,0.011548172427594556,0.22077003484320556,0.03301040872456991
ORI,0.4411764705882353,0.036213472619158964,0.011644061168264339,0.20490693590869183,0.02327068899339043
TOWN,0.5842844600526778,0.03699183397521613,0.011946921017820102,0.20574012291483756,0.022874985084145177
WMT,0.4088419405320814,0.03703061048249897,0.011669491876845932,0.20366392801251956,0.022621447598015876
JPM,0.5448658649398704,0.036682281099091364,0.011882856474870715,0.215377428307123,0.03067113473425982
COST,0.0,0.03726028900777783,0.011636047082933696,0.231,0.4216833134199371
NFLX,0.4894894894894895,0.036646882437129505,0.011896525130235244,0.22184984984984982,0.03700492674070319
TMUS,0.5839080459770115,0.03670326052810236,0.01127965333312648,0.22649885057471264,0.041685589683854926
AXP,0.4685185185185185,0.03639631434038077,0.011061367846499,0.19941604938271604,0.020209030936081895
ISRG,0.5410628019323671,0.03669686142204924,0.011617619979176569,0.2159449275362319,0.031860265846628474
T,0.4792682926829268,0.03693510426487744,0.01175919321738227,0.21971585365853658,0.03526016782429095
GS,0.4095904095904096,0.036976453494790486,0.011575976682328236,0.19969330669330668,0.02124206256226058
BSX,0.5738636363636364,0.036866299040652764,0.01137997540506013,0.22396780303030303,0.03942649306578443
WMB,0.4789189189189189,0.036550134033957314,0.011688667057509159,0.2008673873873874,0.021951880637130272
SPG,0.591025641025641,0.037054848886650005,0.011740784945223704,0.22166282051282052,0.03515281290452582
RCL,0.3964429145152037,0.03630251868042042,0.011537920152346556,0.1956744119334481,0.01921573135525696
HLT,0.7075098814229249,0.03671319158859778,0.011911003420234509,0.22964426877470356,0.05203558698088641
BK,0.37293729372937295,0.03648086251003237,0.011303247490239598,0.18661541448262473,0.01635723064508679
KMI,0.4727848101265823,0.036607004448581344,0.011561199356169042,0.19871867088607595,0.02017978938971188
HWM,0.5469387755102041,0.036112852713522756,0.011782936195313258,0.21431918367346942,0.028627631521999205
MPLX,0.5034013605442177,0.03693380896277094,0.011869207711795374,0.21561649659863946,0.03030295043218039
NDAQ,0.44623655913978494,0.03682417486951866,0.011530733553732544,0.19181089294062645,0.01820998120063667
TRGP,0.4284434490481523,0.036430801405608816,0.011306062609185189,0.18997088465845466,0.018354436362921174
GLW,0.42424242424242425,0.0363367800007603,0.012143221311886136,0.23204545454545453,0.0815353328258406
ETR,0.469558599695586,0.03698261677913639,0.012076539637918647,0.2020517503805175,0.023352462588043688
STT,0.4177655677655678,0.03646150512675169,0.011452362770487685,0.18552747252747254,0.016636153594864894
BR,0.8008658008658008,0.036571572773290664,0.011006992425415663,0.22922943722943723,0.05095998837423566
AEE,0.5422781271837875,0.036429825573705686,0.01104994409143762,0.21301327742837176,0.027154744349693793
CVNA,0.5938047925189948,0.036733325581192966,0.011503158445334422,0.2092928112215079,0.025666005940300714
GDDY,0.6108870967741935,0.03706112491494825,0.011731198156869634,0.22473991935483872,0.03942321174009801
FOX,0.45064935064935063,0.036622852499060755,0.012042495916647779,0.20913636363636362,0.027429154003933042
FWONK,0.6818181818181818,0.03625417650081845,0.01098696415855826,0.2349242424242424,0.07901652744694129
UI,0.45539906103286387,0.03659587824767832,0.011733392567742558,0.2032629107981221,0.02332144399457936
NTRA,0.6566666666666666,0.03719773176247026,0.011547754268968239,0.22675333333333333,0.04728595757734244
NI,0.4136798905608755,0.036395473484218996,0.011231999326952685,0.19555540355677156,0.01932682412686186
PODD,0.8,0.036537270140248455,0.01098986753484601,0.2318857142857143,0.066012394176683
USFD,0.5827937095282146,0.03693579988881939,0.011935176916379209,0.21676503237742833,0.030691446257724474
CHWY,0.4666666666666667,0.036960601371773316,0.011679828567610033,0.2490666666666667,0.141873697081952
SFM,0.4256578947368421,0.036390736627729424,0.011293352080061703,0.18967236842105262,0.017249275737479742
PRMB,0.5331010452961672,0.03665667145489401,0.011341007843039428,0.2183670150987224,0.033171706178844934
TKO,0.6025641025641025,0.036827543034401555,0.01132910452343212,0.23503846153846156,0.07448913108003072
DTM,0.42312105565117614,0.03695125680979807,0.011229535994312536,0.19567871485943777,0.020072015845399905
TLN,0.4592982456140351,0.03710669934308665,0.011387470971509914,0.2003701754385965,0.02179961900993663
EXLS,0.33573910719059075,0.0369718187851344,0.011704622074104819,0.1957353648757017,0.018894083642435423
PLNT,0.5380116959064327,0.037303907370291635,0.012343687177453436,0.2332631578947368,0.0558020105902458
WAY,0.17373737373737375,0.03695175328276439,0.01181706007396705,0.21657575757575756,0.03159401906739233
EAT,0.43671497584541064,0.03643259025915529,0.011921562023956736,0.21630048309178745,0.031578666238486985
FSK,0.6041666666666666,0.036721278102929515,0.01150211740194515,0.22467992424242425,0.04081337085734443
